OTU	Test-Statistic	P	FDR_P	Bonferroni_P	11_mean	10_mean	12_mean	15_mean	14_mean	16_mean	10.8_mean	12.5_mean	9.5_mean	10.5_mean	3_mean	7_mean	11.5_mean	8.5_mean
D_0__Archaea;D_1__Parvarchaeota	21.75	0.0593584703545	0.792137339284	1.0	0.0	0.0	0.0	9.92096299481e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22068584896e-05
D_0__Bacteria;D_1__WS1	21.75	0.0593584703545	0.792137339284	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.50990987955e-07	0.0	0.0	1.49162452827e-05
D_0__Bacteria;D_1__FCPU426	19.2798031072	0.114680552177	0.792137339284	1.0	0.0	9.62441327611e-06	0.000256330153237	0.00011426026731	0.0	0.0	0.0	0.000370727367094	0.000476910259181	0.0	2.76740002767e-06	0.0	0.0	1.49162452827e-05
D_0__Archaea;D_1__Bathyarchaeota	18.246923708	0.148366975278	0.792137339284	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.20410499802e-06	0.0	3.50990987955e-07	0.0	0.0	7.45812264137e-06
D_0__Archaea;D_1__Euryarchaeota	18.0090100497	0.157177655608	0.792137339284	1.0	0.0	1.04877089906e-05	0.0	8.26746916234e-05	5.41806009582e-05	3.56737421859e-05	0.000142452848107	0.0	0.0	8.18009292586e-06	2.31248773291e-05	3.81664821953e-05	0.0	0.000798019122626
D_0__Bacteria;D_1__Firmicutes	17.7196480938	0.168457262066	0.792137339284	1.0	0.00655038049046	0.00717384010174	0.00860308076803	0.013476977781	0.00772103205028	0.0132620933706	0.0142452848107	0.0181903561454	0.0128052379625	0.00387736404686	0.00810494494864	0.00311056829892	0.00260500363686	0.0150132008771
D_0__Bacteria;D_1__Hydrogenedentes	17.2379012987	0.188655603835	0.792137339284	1.0	4.08543460853e-05	5.46825231425e-05	8.01031728867e-06	5.85950088771e-06	0.0	1.84669741905e-05	9.49685654049e-06	7.41454734188e-05	0.0	8.18009292586e-06	9.23779256884e-05	0.0	0.0	9.69555943378e-05
D_0__Bacteria;D_1__Deinococcus-Thermus	16.9064419999	0.203616388971	0.792137339284	1.0	0.0	1.06488746519e-06	8.01031728867e-06	0.0	0.0	1.14711786636e-05	0.0	0.0	0.0	0.0	7.01981975911e-07	1.90832410977e-05	0.0	8.94974716964e-05
D_0__Bacteria;D_1__Gracilibacteria	16.2678357176	0.234968885417	0.792137339284	1.0	0.0	4.06391772679e-06	0.0	1.32279506597e-05	0.0	0.0	0.0	0.0	1.0408209996e-05	8.18009292586e-06	2.42451461491e-05	0.0	1.69156080315e-05	2.98324905655e-05
D_0__Bacteria;D_1__Tectomicrobia	16.051026393	0.246385432787	0.792137339284	1.0	0.00328561747323	0.00546330602958	0.00113746505499	0.00674721693865	0.00661425727411	0.00507651108165	0.0089840262873	0.000123575789031	0.000161647889434	0.0103232772724	0.0077294388793	0.00881645738712	0.0119424192703	0.00463895228293
D_0__Bacteria;D_1__Actinobacteria	15.9929618768	0.249510115179	0.792137339284	1.0	0.152928321202	0.142211186707	0.0932801448265	0.121954856797	0.13855614361	0.0973279414736	0.222900719862	0.104594547836	0.138146388187	0.129940776127	0.101427783853	0.264999427503	0.0892636635824	0.140026252592
D_0__Bacteria;D_1__Peregrinibacteria	15.9790753247	0.250261620233	0.792137339284	1.0	5.54221202266e-05	1.46285362919e-05	1.60206345773e-05	2.92975044386e-06	3.38496757326e-05	3.49789776344e-06	1.8993713081e-05	0.0	2.98751576296e-05	2.45402787776e-05	6.75921572559e-05	5.7249723293e-05	0.0	2.98324905655e-05
D_0__Bacteria;D_1__Microgenomates	15.8157714286	0.259221424311	0.792137339284	1.0	2.11976631479e-05	1.11067340598e-05	8.01031728867e-06	3.55342425474e-05	4.50625016898e-06	4.14093315177e-05	9.49685654049e-06	2.47151578063e-05	4.11184210526e-06	0.0	2.80792790364e-06	0.0	0.0	0.000178994943393
D_0__Bacteria;D_1__Omnitrophica	15.1818181818	0.29614021237	0.792137339284	1.0	0.000149924622246	0.000139690206913	3.20412691547e-05	0.000214199723779	0.000160658274046	0.000308897736458	0.00018993713081	0.000370727367094	6.0007524725e-05	0.000106341208036	4.56150685384e-05	7.63329643907e-05	6.76624321261e-05	0.000313241150937
D_0__Bacteria;D_1__TM6 (Dependentiae)	15.0809384164	0.302327257517	0.792137339284	1.0	0.00105036755103	0.000716659057438	0.00108139283397	0.000961790322989	0.000700263958009	0.00071645544985	0.0003988679747	0.000741454734188	0.000963076549782	0.000940710686473	0.000993137121731	0.000457997786344	0.00224977586819	0.00105159529243
