OTU	Test-Statistic	P	FDR_P	Bonferroni_P	dry_mean	moist_mean	low_mean
D_0__Bacteria;D_1__Fibrobacteres	9.87655913978	0.00716691795321	0.365512815614	0.365512815614	9.90344188243e-05	0.000241194216225	0.000270949213402
D_0__Bacteria;D_1__Hydrogenedentes	5.83446857143	0.0540830589342	0.856322962432	1.0	3.58090812628e-05	4.80231136534e-05	0.0
D_0__Bacteria;D_1__Planctomycetes	5.77956989247	0.0555881657704	0.856322962432	1.0	0.0441959693599	0.0498481160954	0.0581935011696
D_0__Bacteria;D_1__Spirochaetae	5.40127790608	0.0671625852888	0.856322962432	1.0	1.650985126e-05	7.39929681584e-05	1.71744509095e-05
D_0__Bacteria;D_1__PAUC34f	4.42068965517	0.109662827227	0.929990744382	1.0	1.294913257e-06	0.0	1.10232922165e-05
D_0__Archaea;D_1__Parvarchaeota	3.86896551724	0.144498990354	0.929990744382	1.0	3.48045723264e-06	0.0	6.61397532987e-06
D_0__Bacteria;D_1__Gemmatimonadetes	3.48795698925	0.174823480912	0.929990744382	1.0	0.0349487359304	0.0307704945944	0.0192783211526
D_0__Bacteria;D_1__Proteobacteria	3.38365591398	0.184182538331	0.929990744382	1.0	0.291375906555	0.290561404341	0.240667683976
D_0__Bacteria;D_1__Firmicutes	3.23569892473	0.198324745634	0.929990744382	1.0	0.0090296064429	0.00792272560929	0.0126272096517
D_0__Bacteria;D_1__Ignavibacteriae	3.04591841558	0.218065629709	0.929990744382	1.0	5.82884984789e-06	2.17081288292e-05	2.20465844329e-06
D_0__Bacteria;D_1__Acidobacteria	2.8847311828	0.236367946818	0.929990744382	1.0	0.180510146991	0.178084481419	0.213085856505
D_0__Bacteria;D_1__Synergistetes	2.0627866242	0.356509884822	0.929990744382	1.0	1.49162452827e-06	1.37300884793e-06	0.0
D_0__Bacteria;D_1__Chlamydiae	1.97290322581	0.372897530998	0.929990744382	1.0	0.000143600976706	9.95039115043e-05	0.000143449602002
D_0__Bacteria;D_1__Chlorobi	1.80774193548	0.404998883876	0.929990744382	1.0	0.0006852979583	0.000904242509518	0.00114225835189
D_0__Bacteria;D_1__Omnitrophica	1.77956989247	0.410744075314	0.929990744382	1.0	0.00016557703431	0.000119705283799	0.00021712092598
D_0__Bacteria;D_1__Parcubacteria	1.73694555704	0.419591869884	0.929990744382	1.0	6.53833211657e-05	6.50111890032e-05	2.76027935634e-05
D_0__Bacteria;D_1__Candidatus Berkelbacteria	1.62564943943	0.443603239973	0.929990744382	1.0	7.27151094726e-07	1.48476776747e-06	2.74122807018e-06
D_0__Bacteria;D_1__Microgenomates	1.56323809524	0.457664430633	0.929990744382	1.0	2.23309427066e-05	1.77270053607e-05	4.94588651347e-06
D_0__Bacteria;D_1__Lentisphaerae	1.5	0.472366552741	0.929990744382	1.0	0.0	7.42383883737e-07	0.0
D_0__Bacteria;D_1__Deinococcus-Thermus	1.49401052206	0.473783287582	0.929990744382	1.0	6.87206205997e-06	4.13084854828e-06	0.0
D_0__Bacteria;D_1__RsaHf231	1.45323248408	0.483542415472	0.929990744382	1.0	2.26926844152e-06	5.84984979926e-08	0.0
D_0__Bacteria;D_1__Tenericutes	1.2323421191	0.540008143194	0.929990744382	1.0	0.000315450749569	2.7285488179e-05	7.14309937849e-05
D_0__Bacteria;D_1__Saccharibacteria	1.1464516129	0.56370410231	0.929990744382	1.0	0.000173594641896	0.000169432649538	0.000103070116435
D_0__Bacteria;D_1__BJ-169	1.14445668135	0.564266658378	0.929990744382	1.0	7.49303636896e-06	3.32404811396e-06	0.0
D_0__Bacteria;D_1__Verrucomicrobia	1.09655913978	0.577943266546	0.929990744382	1.0	0.124459663041	0.114763732169	0.137386733155
D_0__Archaea;D_1__Bathyarchaeota	1.07054963084	0.585508361305	0.929990744382	1.0	4.97208176091e-07	9.25849330996e-07	0.0
D_0__Bacteria;D_1__Armatimonadetes	1.00021505376	0.606465444868	0.929990744382	1.0	0.000981882116811	0.000842040952983	0.00123829596997
D_0__Bacteria;D_1__Aminicenantes	1.0	0.606530659713	0.929990744382	1.0	7.43085588598e-07	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota	0.921219822109	0.630898736025	0.929990744382	1.0	7.04126580691e-05	2.03919346489e-05	6.41993607071e-05
D_0__Bacteria;D_1__Gracilibacteria	0.907456288776	0.635255407521	0.929990744382	1.0	5.48606559561e-06	7.22058457282e-06	8.81863377316e-06
D_0__Bacteria;D_1__SBR1093	0.884538258575	0.642576675979	0.929990744382	1.0	5.25678453084e-06	2.40332991728e-05	1.5432609103e-05
D_0__Bacteria;D_1__RBG-1 (Zixibacteria)	0.818008903278	0.664311275042	0.929990744382	1.0	4.14160373001e-06	2.2444672734e-06	1.76372675463e-05
D_0__Bacteria;D_1__Elusimicrobia	0.75935483871	0.684082045251	0.929990744382	1.0	0.00198215475715	0.00210489113794	0.00246109303184
D_0__Bacteria;D_1__Nitrospirae	0.699784946237	0.704763866706	0.929990744382	1.0	0.0160034234883	0.0188035130617	0.0153414009365
D_0__Bacteria;D_1__Chloroflexi	0.655053763441	0.720703917254	0.929990744382	1.0	0.0334047137739	0.0302139298518	0.0291744945526
D_0__Bacteria;D_1__Latescibacteria	0.563225806452	0.754565717962	0.929990744382	1.0	0.00612639388211	0.00811704166006	0.00662142713573
D_0__Archaea;D_1__Thaumarchaeota	0.485806451613	0.784347414687	0.929990744382	1.0	0.0278068420127	0.0221600201427	0.0348092986367
D_0__Bacteria;D_1__TM6 (Dependentiae)	0.475483870968	0.788406124488	0.929990744382	1.0	0.000809606225207	0.00093728924659	0.000727887459237
D_0__Bacteria;D_1__Fusobacteria	0.458100634021	0.795288515958	0.929990744382	1.0	2.93060063677e-06	5.51482866007e-06	8.22368421053e-06
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	0.450074257426	0.79848657143	0.929990744382	1.0	2.18477102236e-05	1.36340774932e-05	1.58290078806e-05
D_0__Bacteria;D_1__WS2	0.429139722864	0.806888439381	0.929990744382	1.0	2.25958775238e-05	1.13445345598e-05	7.28267788261e-06
D_0__Bacteria;D_1__FCPU426	0.387975183305	0.823668124565	0.929990744382	1.0	4.82572953744e-05	3.45134471377e-05	0.000265899122807
D_0__Bacteria;D_1__FBP	0.331041388518	0.847452325626	0.929990744382	1.0	7.25463510207e-05	0.00010927709786	7.06805003186e-05
D_0__Bacteria;D_1__Cyanobacteria	0.303440860215	0.859228461575	0.929990744382	1.0	0.00223975411288	0.00203814040073	0.00244972280999
D_0__Bacteria;D_1__SR1 (Absconditabacteria)	0.285736906788	0.866868094951	0.929990744382	1.0	1.02547456018e-05	8.03174304679e-06	4.54144981244e-06
D_0__Bacteria;D_1__Actinobacteria	0.253548387097	0.880932570398	0.929990744382	1.0	0.138245996053	0.137924160334	0.127077197185
D_0__Bacteria;D_1__Tectomicrobia	0.253548387097	0.880932570398	0.929990744382	1.0	0.00531168300999	0.00584123548312	0.00517394926496
D_0__Bacteria;D_1__WS1	0.243965517241	0.885163629813	0.929990744382	1.0	9.94416352182e-07	5.84984979926e-08	0.0
D_0__Bacteria;D_1__Peregrinibacteria	0.209020952381	0.900765360768	0.929990744382	1.0	2.77457368384e-05	1.78943125277e-05	2.09888182335e-05
D_0__Bacteria;D_1__Bacteroidetes	0.17935483871	0.914226049339	0.929990744382	1.0	0.0802652384779	0.0967526427307	0.0907585936662
D_0__Bacteria;D_1__BRC1	0.145161290323	0.929990744382	0.929990744382	1.0	0.000256527292071	0.000260116074391	0.000407215120943
