OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Low-Medium_mean	Medium_mean	Trace_mean	High_mean	Trace-Low_mean	Low_mean
D_0__Bacteria;D_1__PAUC34f	21.75	0.000584099233231	0.0297890608948	0.0297890608948	9.71184942749e-06	0.0	0.0	0.0	3.30698766494e-05	0.0
D_0__Archaea;D_1__Parvarchaeota	14.7980295567	0.011261102009	0.218229060248	0.574316202457	0.0	7.45812264137e-06	0.0	0.0	1.98419259896e-05	0.0
D_0__Bacteria;D_1__Elusimicrobia	14.4789318209	0.012837003544	0.218229060248	0.654687180744	0.0028195137515	0.00130659864306	0.00250844925944	0.0	0.00167333575846	0.00221764999542
D_0__Bacteria;D_1__Parcubacteria	13.4373270995	0.0196076738838	0.249997842019	0.999991368075	9.27860213177e-05	0.000101180619048	4.97106187241e-05	0.0	1.98419259896e-05	4.72960201404e-05
D_0__Bacteria;D_1__Hydrogenedentes	8.73638430141	0.120052265797	0.633410259935	1.0	2.18145328418e-05	8.34573339059e-05	3.46462878226e-05	0.0	0.0	5.86357301065e-06
D_0__Bacteria;D_1__Verrucomicrobia	7.89913742172	0.16188266657	0.633410259935	1.0	0.190732286036	0.0934258167228	0.134194793152	0.0930979133226	0.0959753960118	0.114528170279
D_0__Bacteria;D_1__Firmicutes	7.89521446296	0.162105900563	0.633410259935	1.0	0.00574780314024	0.0115335842357	0.0091664354892	0.00321027287319	0.0154634743212	0.00638838807096
D_0__Bacteria;D_1__Spirochaetae	7.53928486833	0.183521172063	0.633410259935	1.0	2.54750405621e-05	2.59627906703e-05	2.19723987053e-05	0.0	1.32279506597e-05	0.000109254664981
D_0__Bacteria;D_1__WS2	7.2803593635	0.200610584939	0.633410259935	1.0	0.0	1.74770293701e-05	2.19853820974e-05	0.0	0.0	1.47952397276e-05
D_0__Bacteria;D_1__Planctomycetes	7.09514356611	0.213659988609	0.633410259935	1.0	0.0416107976238	0.0461342206063	0.0483067125649	0.0321027287319	0.0604120506631	0.0515057091369
D_0__Bacteria;D_1__Chlorobi	6.88141321045	0.229610215062	0.633410259935	1.0	0.000551485264916	0.000758388899837	0.00102754793745	0.0	0.000370382618473	0.000736159318402
