OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8.5_mean	5.5_mean	5.6_mean	5.7_mean	6.5_mean	5_mean	9_mean	8_mean	9.0_mean
D_0__Bacteria;D_1__Chlamydiae	12.9580645161	0.113300647167	0.715347937908	1.0	7.62398448465e-05	0.000127464866974	9.22381589263e-05	0.00014986784381	0.000102440046887	6.28418384624e-05	0.000178784245986	0.000204484746216	0.00025086712768
D_0__Bacteria;D_1__RBG-1 (Zixibacteria)	12.3933630109	0.134496986831	0.715347937908	1.0	1.34664562e-05	0.0	1.53730264877e-05	0.0	0.0	0.0	9.77334418669e-06	4.00515864433e-06	0.0
D_0__Bacteria;D_1__SBR1093	12.1853562005	0.143123380163	0.715347937908	1.0	0.0	0.0	4.61190794632e-05	0.0	1.22812404053e-05	0.0	4.28584531339e-05	0.0	0.0
D_0__Bacteria;D_1__Omnitrophica	12.1155913978	0.146120518351	0.715347937908	1.0	0.00019183729357	5.67848946291e-05	0.000184476317853	0.000177116542685	0.000123392809812	0.000135695612207	0.000208226799857	4.09272348264e-05	0.000327217992627
D_0__Bacteria;D_1__Fibrobacteres	12.0930107527	0.14710197039	0.715347937908	1.0	0.000169043527557	0.000178716773855	3.07460529754e-05	0.000245238289872	0.000461746179992	0.000178438555263	0.000144866790172	7.60277868031e-05	3.27217992627e-05
D_0__Bacteria;D_1__FCPU426	11.5967287084	0.170123982925	0.715347937908	1.0	1.48113087912e-05	5.71301336552e-05	0.0	0.0	0.0	0.000165568485682	0.0	0.000130932476646	7.63508649462e-05
D_0__Bacteria;D_1__Nitrospirae	11.4677419355	0.176578026287	0.715347937908	1.0	0.013860114614	0.0140119887657	0.0133437869913	0.00896482192975	0.0210440441873	0.0133320310174	0.0247589077118	0.0144112257684	0.0161427543029
D_0__Bacteria;D_1__BRC1	11.3801075269	0.181077692792	0.715347937908	1.0	0.00057548774174	0.0002466284577	0.000599548033021	0.000940080111175	0.000162102886934	0.000226461186699	0.000166686740629	0.000174486656622	0.00011997993063
D_0__Bacteria;D_1__WS2	11.2147565435	0.189825196384	0.715347937908	1.0	2.48604088046e-06	1.23186934571e-05	9.22381589263e-05	1.36243494373e-05	8.13211473591e-06	1.41894295065e-05	1.26419545724e-05	5.17049521427e-05	0.0
D_0__Bacteria;D_1__Tenericutes	11.0750732147	0.197481627441	0.715347937908	1.0	2.53785347034e-05	0.000360713084335	0.000430444741656	0.000108994795499	1.12024248372e-05	2.02975555119e-05	0.00034774343434	0.000124159917974	0.0
D_0__Bacteria;D_1__Bacteroidetes	10.9516129032	0.204455982362	0.715347937908	1.0	0.101775101072	0.125945124354	0.0908545865425	0.14770157225	0.0863971913148	0.0830655727718	0.0674041547422	0.0726089021838	0.0678541044044
