OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Low-Medium_mean	Medium_mean	Trace_mean	High_mean	Trace-Low_mean	Low_mean
D_0__Archaea;D_1__Parvarchaeota	21.75	0.000584099233231	0.0297890608948	0.0297890608948	5.22068584896e-05	0.0	0.0	0.0	9.92096299481e-06	0.0
D_0__Bacteria;D_1__WS1	15.4666666667	0.0085438041432	0.217867005652	0.435734011303	1.49162452827e-05	4.67987983941e-08	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Bathyarchaeota	12.1757178015	0.0324577766035	0.55178220226	1.0	7.45812264137e-06	4.67987983941e-08	0.0	3.46940333201e-06	0.0	0.0
D_0__Bacteria;D_1__Planctomycetes	10.9109677419	0.0531740872814	0.552412719608	1.0	0.047560448084	0.0487629837824	0.0525695309257	0.0362896321194	0.0595851371736	0.047010441325
D_0__Bacteria;D_1__Deinococcus-Thermus	10.823067584	0.0550031039591	0.552412719608	1.0	8.94974716964e-05	4.2102427855e-06	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Synergistetes	10.2848407643	0.0675551731747	0.552412719608	1.0	2.23743679241e-05	1.09840707834e-06	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Gracilibacteria	9.81714608009	0.0805852580018	0.552412719608	1.0	2.98324905655e-05	4.38870632545e-06	4.42784004428e-05	6.93880666403e-06	1.32279506597e-05	1.02251161573e-06
D_0__Bacteria;D_1__Ignavibacteriae	9.62290484969	0.0866529756247	0.552412719608	1.0	0.0	2.25622291419e-05	0.0	0.0	3.30698766494e-06	1.18710706756e-06
D_0__Bacteria;D_1__Proteobacteria	8.92548387097	0.112073523839	0.635083301755	1.0	0.234535582703	0.300299014504	0.274249342742	0.324738903447	0.229465244321	0.266620145046
D_0__Bacteria;D_1__RBG-1 (Zixibacteria)	8.36239039525	0.137362164311	0.700547037986	1.0	2.23743679241e-05	1.73568786431e-06	0.0	0.0	2.64559013195e-05	5.08099716778e-06
D_0__Bacteria;D_1__PAUC34f	8.02801724138	0.154698287008	0.717237512492	1.0	0.0	0.0	0.0	0.0	1.65349383247e-05	2.42796235687e-06
D_0__Bacteria;D_1__FCPU426	7.33096446701	0.1971665236	0.740041175154	1.0	1.49162452827e-05	1.90565222886e-05	5.53480005535e-06	0.000175616839012	0.000398848684211	3.81089249459e-05
D_0__Bacteria;D_1__Candidatus Berkelbacteria	7.16673502871	0.208532420867	0.740041175154	1.0	0.0	0.0	0.0	0.0	4.11184210526e-06	3.59055995382e-06
D_0__Bacteria;D_1__Firmicutes	7.16376344086	0.208743143044	0.740041175154	1.0	0.0150132008771	0.00780039073654	0.0110917393109	0.0110678463847	0.0146355200554	0.00785163155115
D_0__Bacteria;D_1__Peregrinibacteria	7.04031619048	0.217659169163	0.740041175154	1.0	2.98324905655e-05	1.93391794231e-05	0.000116230801162	3.46940333201e-06	2.46710526316e-05	2.47478699095e-05
D_0__Bacteria;D_1__Gemmatimonadetes	6.63258064516	0.249430647941	0.753486249167	1.0	0.0631852150177	0.0303752899996	0.0195931921959	0.0437201671693	0.0200548424199	0.0302042492488
D_0__Archaea;D_1__Thaumarchaeota	6.56903225806	0.254714429478	0.753486249167	1.0	0.063386584329	0.0217493425794	0.0586301369863	0.0145191096084	0.0362121495409	0.0279015349873
D_0__Archaea;D_1__Euryarchaeota	6.37324438797	0.271575332311	0.753486249167	1.0	0.000798019122626	1.98059859696e-05	5.53480005535e-06	0.0	8.26746916234e-05	2.8437259184e-05
D_0__Bacteria;D_1__Tenericutes	6.21288578509	0.286051943671	0.753486249167	1.0	6.71231037723e-05	0.000214219715287	0.0	3.46940333201e-06	5.26490929281e-05	0.000234669356764
D_0__Bacteria;D_1__Hydrogenedentes	6.11187428571	0.295484803595	0.753486249167	1.0	9.69555943378e-05	4.85602542947e-05	3.87436003874e-05	2.47151578063e-05	0.0	2.18956375273e-05
D_0__Bacteria;D_1__Acidobacteria	5.8911827957	0.316951748441	0.769739960499	1.0	0.171618860101	0.180436896245	0.198621834786	0.183240488045	0.227235259048	0.175367178826
D_0__Bacteria;D_1__Bacteroidetes	5.31311827957	0.378873341574	0.772109614222	1.0	0.052781133933	0.0991865409065	0.0555583229556	0.0964012411568	0.0622871043744	0.0784213210289
D_0__Bacteria;D_1__Armatimonadetes	5.20806451613	0.391019187511	0.772109614222	1.0	0.00187198878298	0.000852419487412	0.000985194409852	0.000824743565807	0.00155770826734	0.00091431104522
D_0__Bacteria;D_1__Microgenomates	5.14410285714	0.398548187552	0.772109614222	1.0	0.000178994943393	1.46444607102e-05	0.0	8.23838593543e-06	7.4188297702e-06	1.55388991344e-05
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	5.14400061881	0.398560303124	0.772109614222	1.0	0.0	1.29112040845e-05	6.08828006088e-05	1.51771925995e-05	3.30698766494e-06	2.90143989886e-05
D_0__Bacteria;D_1__Chloroflexi	5.01795698925	0.413692626308	0.772109614222	1.0	0.0616935904894	0.0311255449236	0.03299847793	0.0219109996179	0.0311796551236	0.0326867246392
D_0__Bacteria;D_1__SR1 (Absconditabacteria)	4.95858739837	0.420955144391	0.772109614222	1.0	1.49162452827e-05	7.35001734252e-06	0.0	2.68849818669e-05	0.0	7.25062487567e-06
